f1f3syn(-1 ~ 1)	a1-a3[dB]	breathpow[dB]
0.595	-1.88	-52.46
0.552	-5.22	-49.98
0.498	-2.99	-49.06
0.529	-4.00	-51.32
0.628	-6.69	-55.96
0.581	-8.04	-55.19
0.516	-7.45	-52.95
0.502	-1.23	-53.04
0.464	-1.62	-52.07
0.496	-1.65	-52.42
0.585	0.65	-55.18
0.585	-1.13	-56.41
0.515	-1.04	-54.15
0.558	1.42	-55.67
0.511	0.61	-53.38
0.453	0.55	-52.70
0.588	2.30	-56.94
0.516	2.90	-53.00
0.620	-0.92	-57.19
0.527	-4.26	-52.92
0.482	-2.31	-52.12
0.526	-0.15	-53.66
0.606	0.15	-56.69
0.498	1.80	-52.77
0.533	1.59	-53.93
0.457	-0.45	-52.37
0.444	1.49	-51.38
0.586	0.57	-55.11
0.511	-0.49	-53.12
0.524	-3.77	-53.15
0.446	1.35	-50.77
0.417	-2.95	-50.81
0.613	-1.42	-57.58
0.571	3.38	-56.03
0.586	4.52	-55.96
0.578	-0.60	-55.62
0.576	-2.14	-56.14
0.436	1.88	-51.66
0.547	4.56	-53.93
0.432	0.55	-50.68
0.448	-2.39	-51.39
0.537	-0.16	-54.03
0.556	2.46	-54.40
0.586	-0.80	-55.98
0.530	0.78	-53.48
0.504	2.71	-53.18
0.560	0.67	-54.62
0.618	-0.79	-56.98
0.433	2.35	-50.81
0.493	-1.86	-53.05
0.534	-1.05	-53.46
0.474	-0.45	-51.89
0.585	-3.48	-54.78
0.546	-0.25	-53.52
0.515	2.21	-52.54
0.478	-3.78	-51.65
0.495	3.36	-52.25
0.388	2.12	-49.28
0.497	1.01	-53.01
0.580	5.54	-55.84
0.562	-1.84	-55.20
0.590	-2.88	-55.92
0.457	2.18	-52.10
0.504	-1.52	-52.76
0.465	-2.34	-52.07
0.564	-1.22	-54.59
0.487	-0.83	-52.37
0.571	-0.32	-55.76
0.580	-1.03	-56.26
0.459	-0.85	-52.70
0.511	-1.65	-55.14
0.583	0.65	-59.03
0.507	0.76	-53.95
0.487	-0.38	-52.77
0.630	-1.35	-58.63
0.525	-2.05	-54.31
0.563	0.03	-55.65
0.486	0.87	-53.06
0.454	0.50	-51.63
0.519	-1.03	-54.04
0.509	0.67	-53.90
0.478	1.15	-52.54
0.465	0.26	-51.46
0.479	2.85	-51.90
0.517	5.25	-53.50
0.539	0.25	-54.10
0.522	1.63	-53.87
0.502	1.80	-53.43
0.488	-0.59	-53.74
0.518	0.34	-53.92
0.389	0.02	-52.02
0.612	0.06	-57.47
0.536	0.52	-54.70
0.538	-1.21	-54.73
0.525	-0.16	-54.99
0.465	4.07	-52.60
0.532	0.43	-54.65
0.530	-0.49	-53.68
0.431	-2.05	-50.91
0.622	-1.30	-57.70
0.428	-2.23	-51.60
0.507	1.02	-53.35
0.487	2.78	-53.21
0.469	-1.64	-53.06
0.522	-3.35	-54.15
0.429	2.79	-52.12
0.554	-0.79	-55.29
0.572	1.74	-56.11
0.497	2.55	-53.68
0.499	-1.92	-53.30
0.442	2.29	-51.39
0.532	1.10	-53.19
0.475	-4.03	-52.29
0.593	2.44	-57.36
0.467	-1.72	-52.24
0.477	-0.26	-51.91
0.497	3.60	-52.74
0.548	3.13	-54.46
0.483	0.55	-51.65
0.501	2.02	-51.91
0.458	-1.71	-50.72
0.544	-3.97	-51.48
0.530	-4.25	-50.22
0.524	-12.18	-45.57
0.626	-11.13	-50.10
0.568	-10.43	-47.99
0.504	-8.53	-45.14
0.477	-8.84	-43.43
0.563	-5.76	-46.63
0.519	-6.20	-44.48
0.514	-4.08	-44.88
0.459	-4.59	-46.31
0.540	-1.02	-50.70
0.403	-0.75	-48.33
0.508	5.84	-49.34
0.778	8.18	-52.97
0.820	6.65	-56.45
0.805	-2.76	-48.10
0.714	-3.31	-41.43
0.757	7.27	-44.76
0.690	3.75	-43.32
0.711	9.36	-46.21
0.717	9.25	-58.81
0.689	11.90	-57.92
0.722	13.79	-60.74
0.723	13.17	-58.98
0.734	7.58	-46.96
0.733	4.05	-42.75
0.701	-1.34	-37.74
0.717	-5.99	-35.97
0.706	-8.25	-34.94
0.696	-8.58	-37.48
0.707	-8.73	-35.82
0.720	-8.26	-37.30
0.756	-4.13	-39.37
0.701	6.15	-42.33
0.696	9.91	-46.63
0.673	10.50	-44.41
0.664	9.02	-50.28
0.636	7.11	-54.06
0.678	8.71	-52.89
0.766	13.38	-53.29
0.796	21.35	-55.21
0.777	17.47	-50.92
0.757	19.17	-47.22
0.753	19.26	-45.13
0.757	17.51	-43.67
0.763	16.20	-43.12
0.801	13.87	-42.99
0.783	8.94	-37.54
0.643	7.76	-27.30
0.534	10.13	-28.13
0.410	9.65	-34.34
0.587	5.00	-39.56
0.575	7.48	-40.29
0.598	9.00	-43.68
0.476	0.41	-37.27
0.508	-1.14	-42.55
0.456	1.23	-39.52
0.530	5.87	-40.86
0.448	-3.92	-38.54
0.655	-5.85	-45.89
0.546	-7.00	-41.00
0.519	-4.80	-41.23
0.547	-6.13	-43.23
0.569	-6.60	-46.27
0.779	6.45	-45.49
0.787	4.05	-39.13
0.732	0.80	-40.95
0.710	-1.06	-30.37
0.754	-5.92	-37.10
0.764	-7.54	-32.70
0.744	-9.24	-34.75
0.753	-9.24	-32.50
0.727	-5.88	-31.60
0.688	-3.65	-29.86
0.718	-4.60	-30.72
0.689	-5.53	-31.49
0.672	-4.90	-30.20
0.671	-2.49	-30.33
0.687	-2.21	-31.14
0.700	-1.20	-29.33
0.729	0.83	-31.82
0.740	-2.21	-33.00
0.726	-4.50	-32.31
0.734	-1.73	-35.89
0.759	-4.90	-35.48
0.669	-6.38	-30.27
0.669	-4.42	-31.27
0.705	1.21	-35.09
0.741	2.61	-38.03
0.697	-0.06	-37.70
0.659	6.33	-37.81
0.696	8.25	-41.67
0.575	3.52	-36.23
0.470	-2.43	-38.62
0.584	-0.39	-41.12
0.547	3.24	-41.40
0.566	1.12	-45.32
0.500	-3.88	-44.50
0.494	0.96	-47.11
0.618	4.92	-51.44
0.423	2.59	-46.44
0.427	-0.52	-44.98
0.635	6.94	-53.50
0.589	4.33	-51.73
0.489	0.31	-48.61
0.425	-1.79	-47.63
0.566	2.16	-51.46
0.625	1.31	-55.94
0.558	-0.93	-54.14
0.561	-0.94	-54.24
0.411	-0.67	-48.14
0.776	-2.51	-56.32
0.686	-0.01	-52.98
0.492	1.80	-51.77
0.571	1.92	-54.32
0.472	-1.28	-50.57
0.560	3.77	-51.66
0.520	3.02	-48.25
0.509	-0.16	-49.89
0.582	1.99	-53.52
0.500	-0.02	-51.61
0.463	-4.00	-50.58
0.538	-2.83	-52.97
0.543	0.37	-53.60
0.483	-0.90	-53.57
0.563	-0.64	-55.84
0.590	1.56	-55.63
0.596	0.30	-55.23
0.557	-2.66	-53.66
0.491	-3.78	-50.84
0.549	-1.99	-53.76
0.496	-1.94	-51.92
0.463	2.36	-51.39
0.552	0.19	-55.27
0.529	-2.41	-55.24
0.511	-0.55	-53.26
0.501	-0.97	-52.88
0.561	1.71	-54.32
0.550	0.30	-54.05
0.494	-0.95	-52.88
0.480	0.30	-52.47
0.503	-2.11	-53.75
0.587	7.47	-53.81
0.564	5.81	-52.69
0.450	-5.35	-50.43
0.498	-1.06	-53.32
0.507	-3.44	-53.90
0.465	-2.26	-52.05
0.527	5.32	-53.24
0.587	5.57	-56.22
0.550	-0.43	-54.82
0.550	-0.25	-55.10
0.486	-1.22	-52.99
0.571	-3.28	-55.71
0.505	-1.94	-53.52
0.526	-0.89	-54.35
0.617	2.96	-54.54
0.462	0.90	-50.20
0.514	-0.46	-52.62
0.768	-3.74	-58.39
0.427	-0.26	-47.68
0.593	4.03	-56.84
0.611	2.97	-56.80
0.513	1.31	-53.59
0.572	-2.70	-55.77
0.557	-3.55	-55.71
0.540	2.79	-54.66
0.484	-0.65	-54.28
0.406	-1.46	-50.95
0.515	-0.46	-53.04
0.553	-0.69	-54.57
0.448	-4.01	-50.17
0.417	-0.81	-48.52
0.501	-4.23	-51.68
0.527	0.38	-52.71
0.524	2.94	-52.78
0.458	-1.19	-50.45
0.572	-2.38	-54.66
0.420	-4.13	-50.11
0.600	3.20	-57.43
0.481	0.48	-52.74
0.550	0.61	-54.51
0.482	-0.43	-51.76
0.638	0.93	-58.01
0.444	-2.19	-51.05
0.499	2.96	-52.82
0.520	0.25	-53.77
0.485	-2.80	-54.87
0.589	0.11	-57.40
0.608	-2.37	-57.48
0.451	-1.44	-52.70
0.521	-2.25	-54.76
0.482	-4.15	-53.15
0.510	-0.20	-53.67
0.557	-0.66	-55.01
0.458	2.26	-52.33
0.499	2.05	-52.98
0.590	1.40	-56.41
0.533	-0.44	-55.30
0.545	-0.97	-54.62
0.606	-0.82	-57.39
0.456	-2.54	-53.37
0.537	3.53	-55.66
0.400	4.29	-51.62
0.549	-1.25	-55.67
0.466	0.32	-53.05
0.535	-1.21	-54.89
0.523	-2.07	-53.82
0.497	-1.59	-53.58
0.550	1.04	-54.52
0.433	0.89	-50.24
0.581	0.03	-55.41
0.539	-0.28	-55.24
0.498	-0.55	-53.16
0.618	0.22	-57.17
0.406	0.57	-50.22
0.516	1.55	-54.09
0.489	-3.33	-53.07
0.479	-4.00	-52.40
0.565	-3.67	-56.16
0.545	0.22	-55.26
0.586	1.38	-57.57
0.443	-1.55	-52.88
0.473	-2.89	-52.40
0.415	-1.22	-50.64
0.565	3.33	-55.44
0.536	1.47	-55.07
0.515	-0.73	-53.65
0.556	1.00	-54.10
0.616	5.36	-57.43
0.497	-1.16	-53.37
0.483	-0.39	-53.42
0.539	2.78	-55.33
0.607	2.51	-57.12
0.546	0.75	-54.87
0.597	-1.25	-56.67
0.535	0.24	-54.72
0.598	-0.87	-56.67
0.594	2.70	-56.72
0.494	-1.11	-53.45
0.560	-4.22	-55.74
0.508	-0.44	-54.02
0.486	0.22	-53.34
0.794	1.52	-55.32
0.813	4.75	-54.83
0.445	10.95	-42.53
0.384	3.03	-46.05
0.525	2.72	-54.11
0.486	0.00	-51.23
0.528	4.85	-52.36
0.438	4.31	-49.80
0.421	3.86	-49.27
0.423	3.73	-50.09
0.523	-5.72	-53.88
0.555	-3.65	-54.29
0.490	-3.30	-51.93
0.490	-0.36	-52.87
0.491	-2.31	-52.14
0.652	-0.50	-58.76
0.483	-0.45	-51.44
0.453	1.62	-49.26
0.599	15.37	-47.66
0.507	15.46	-46.77
0.547	2.05	-53.08
0.761	-6.63	-50.12
0.677	-1.41	-44.68
0.518	13.52	-43.85
0.504	7.57	-49.64
0.436	-4.44	-49.93
0.627	-1.05	-57.46
0.536	-0.82	-54.67
0.498	-3.91	-53.62
0.532	-2.10	-54.04
0.586	-0.82	-55.71
0.591	0.42	-56.56
0.546	-0.59	-54.66
0.513	-0.91	-53.56
0.458	-0.54	-52.24
0.485	0.39	-53.17
0.504	0.90	-54.16
0.447	1.77	-52.02
0.521	2.09	-55.48
0.522	-3.19	-55.36
0.544	-1.64	-54.81
0.499	0.46	-54.28
0.571	-0.01	-56.07
0.470	1.83	-52.18
0.445	-2.06	-52.20
0.577	-0.88	-56.38
0.506	-1.67	-54.04
0.536	0.25	-55.43
0.557	2.20	-55.71
0.479	-1.43	-53.26
0.444	-1.05	-52.04
0.565	-0.09	-55.54
0.487	0.09	-54.31
0.476	3.63	-53.15
0.663	2.69	-60.26
0.490	2.11	-53.04
0.481	1.04	-52.14
0.526	-3.77	-53.11
0.486	-2.88	-53.27
0.574	1.42	-56.98
0.500	-1.04	-53.44
0.546	-1.07	-54.58
0.480	1.57	-52.58
0.437	1.58	-51.71
0.467	-2.62	-52.39
0.460	-3.34	-52.73
0.522	-1.90	-54.94
0.403	2.87	-50.69
0.499	-1.37	-52.57
0.571	1.46	-54.59
0.573	0.70	-54.86
0.512	-2.20	-53.71
0.527	-1.00	-54.18
0.482	-1.54	-53.20
0.565	-2.89	-55.85
0.567	-3.71	-55.87
0.541	-2.37	-54.33
0.810	14.35	-55.55
0.772	18.89	-50.41
0.513	13.91	-46.34
0.403	3.66	-46.73
0.565	0.43	-52.04
0.559	-2.01	-52.36
0.648	1.14	-57.19
0.575	0.88	-54.41
0.542	1.69	-53.33
0.482	0.78	-51.85
0.593	2.86	-55.69
0.518	-0.02	-54.57
0.561	-5.46	-55.94
0.587	-0.71	-57.19
0.494	-2.12	-51.74
0.526	-3.12	-50.46
0.426	1.27	-50.77
0.448	0.08	-52.27
0.490	-2.59	-53.89
0.507	-0.67	-54.84
0.357	-4.02	-49.79
0.551	-2.16	-56.03
0.557	-2.96	-55.88
0.571	-1.03	-55.44
0.521	1.47	-54.41
0.561	1.98	-56.08
0.618	-3.87	-54.20
0.684	-0.82	-54.87
0.564	2.97	-55.13
0.373	1.25	-49.81
0.519	7.26	-49.57
0.456	4.09	-49.38
0.503	1.53	-51.41
0.522	2.75	-49.31
0.517	1.03	-50.01
0.521	5.88	-49.70
0.459	5.47	-47.74
0.583	3.55	-52.38
